,Datetime,Location,Power,Time,Date
3320,2021-10-15T17:40:00,campus,2880.0,17:40:00,2021-10-15
3330,2021-10-15T17:50:00,campus,2862.0,17:50:00,2021-10-15
3340,2021-10-15T18:00:00,campus,2826.0,18:00:00,2021-10-15
3350,2021-10-15T18:10:00,campus,2742.0,18:10:00,2021-10-15
3360,2021-10-15T18:20:00,campus,2640.0,18:20:00,2021-10-15
3370,2021-10-15T18:30:00,campus,2580.0,18:30:00,2021-10-15
3380,2021-10-15T18:40:00,campus,2550.0,18:40:00,2021-10-15
3390,2021-10-15T18:50:00,campus,2532.0,18:50:00,2021-10-15
3400,2021-10-15T19:00:00,campus,2496.0,19:00:00,2021-10-15
3410,2021-10-15T19:10:00,campus,2490.0,19:10:00,2021-10-15
3420,2021-10-15T19:20:00,campus,2502.0,19:20:00,2021-10-15
3430,2021-10-15T19:30:00,campus,2556.0,19:30:00,2021-10-15
3440,2021-10-15T19:40:00,campus,2592.0,19:40:00,2021-10-15
3450,2021-10-15T19:50:00,campus,2634.0,19:50:00,2021-10-15
3460,2021-10-15T20:00:00,campus,2622.0,20:00:00,2021-10-15
3470,2021-10-15T20:10:00,campus,2604.0,20:10:00,2021-10-15
3480,2021-10-15T20:20:00,campus,2562.0,20:20:00,2021-10-15
3490,2021-10-15T20:30:00,campus,2508.0,20:30:00,2021-10-15
3500,2021-10-15T20:40:00,campus,2448.0,20:40:00,2021-10-15
3510,2021-10-15T20:50:00,campus,2418.0,20:50:00,2021-10-15
3520,2021-10-15T21:00:00,campus,2394.0,21:00:00,2021-10-15
3530,2021-10-15T21:10:00,campus,2364.0,21:10:00,2021-10-15
3540,2021-10-15T21:20:00,campus,2316.0,21:20:00,2021-10-15
3550,2021-10-15T21:30:00,campus,2280.0,21:30:00,2021-10-15
3560,2021-10-15T21:40:00,campus,2256.0,21:40:00,2021-10-15
3570,2021-10-15T21:50:00,campus,2232.0,21:50:00,2021-10-15
3580,2021-10-15T22:00:00,campus,2226.0,22:00:00,2021-10-15
3590,2021-10-15T22:10:00,campus,2196.0,22:10:00,2021-10-15
3600,2021-10-15T22:20:00,campus,2166.0,22:20:00,2021-10-15
3610,2021-10-15T22:30:00,campus,2118.0,22:30:00,2021-10-15
3620,2021-10-15T22:40:00,campus,2070.0,22:40:00,2021-10-15
3630,2021-10-15T22:50:00,campus,2028.0,22:50:00,2021-10-15
3640,2021-10-15T23:00:00,campus,1998.0,23:00:00,2021-10-15
3650,2021-10-15T23:10:00,campus,2034.0,23:10:00,2021-10-15
3660,2021-10-15T23:20:00,campus,2064.0,23:20:00,2021-10-15
3670,2021-10-15T23:30:00,campus,2076.0,23:30:00,2021-10-15
3680,2021-10-15T23:40:00,campus,2052.0,23:40:00,2021-10-15
3690,2021-10-15T23:50:00,campus,2022.0,23:50:00,2021-10-15
3700,2021-10-16T00:00:00,campus,2004.0,00:00:00,2021-10-16
3710,2021-10-16T00:10:00,campus,1968.0,00:10:00,2021-10-16
3720,2021-10-16T00:20:00,campus,1932.0,00:20:00,2021-10-16
3730,2021-10-16T00:30:00,campus,1872.0,00:30:00,2021-10-16
3740,2021-10-16T00:40:00,campus,1830.0,00:40:00,2021-10-16
3750,2021-10-16T00:50:00,campus,1836.0,00:50:00,2021-10-16
3760,2021-10-16T01:00:00,campus,1884.0,01:00:00,2021-10-16
3770,2021-10-16T01:10:00,campus,1932.0,01:10:00,2021-10-16
3780,2021-10-16T01:20:00,campus,1908.0,01:20:00,2021-10-16
3790,2021-10-16T01:30:00,campus,1878.0,01:30:00,2021-10-16
